PERMIT_NUM,STRUCTURE_TYPE,ADDRESS,City,Country,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,RESIDENTIAL
15 178922 B03,Townhouses,"17 ISLAND RD   Toronto, Ontario, Canada",Toronto,Canada,2015-06-23,2015-12-14,2017-11-21,Closed,"MODEL NAME ""MALIBU"" ELEVATION ""A INTERIOR""
Stacked Townhouses",Vacant,Townhouse,1,0,"132,000",0,110.76
13 281243 B05,Townhouses,"35-53 VALLEY WOODS RD   Toronto, Ontario, Canada",Toronto,Canada,2013-12-27,2014-11-14,2018-12-06,Closed,Proposed 20 stacked townhouses BLK 100- UNIT 105,Vacant,Stacked Townhouses,1,0,"132,000",0,95.81
13 281243 B12,Townhouses,"35-53 VALLEY WOODS RD   Toronto, Ontario, Canada",Toronto,Canada,2013-12-27,2014-11-14,2018-12-14,Closed,Proposed 20 stacked townhouses-BLK 100- UNIT 112 ,Vacant,Stacked Townhouses,1,0,"132,000",0,95.81
13 281243 B13,Townhouses,"35-53 VALLEY WOODS RD   Toronto, Ontario, Canada",Toronto,Canada,2013-12-27,2014-11-14,2018-12-14,Closed,Proposed 20 stacked townhouses -BLK 100- UNIT 113,Vacant,Stacked Townhouses,1,0,"132,000",0,95.81
14 142159 B11,Townhouses,"639 LAWRENCE AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-04-14,2014-11-07,2017-09-11,Closed,"MODEL NAME ""SUITE 202""
Three storey stacked townhouses consiting of 39 units with a one level of  underground parking garage",Sfd,Stacked Townhouses,1,0,"131,789",0,63.3
14 142159 B17,Townhouses,"639 LAWRENCE AVE W Toronto, Ontario, Canada",Toronto,Canada,2014-04-14,2014-11-07,2017-09-11,Closed,"MODEL NAME ""SUITE 209""
Three storey stacked townhouses consiting of 39 units with a one level of  underground parking garage",Sfd,Stacked Townhouses,1,0,"131,789",0,63.3
06 157905 B01,Townhouses,"4314 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2006-07-19,2006-11-24,2014-02-11,Closed,"MODEL # A2 MODEL NAME "" "" ELEVATION B
Three storey freehold townhouse - Block 1, Part #1, Elevation B (A2)",Vacant,Freehold Townhouse,1,0,"130,000",0,129.78
06 157905 B05,Townhouses,"4314 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2006-07-19,2006-11-24,2015-04-14,Closed,"MODEL # A2 MODEL NAME "" "" ELEVATION B
Three storey  townhouse - Block 1, Part #1, Elevation B (A2)",Vacant,Freehold Townhouse,1,0,"130,000",0,129.78
06 157905 B06,Townhouses,"4314 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2006-07-19,2006-11-24,2015-04-29,Closed,"MODEL # A2 MODEL NAME "" "" ELEVATION A
Three storey  townhouse - Block 1, Part #1, Elevation B (A2)",Vacant,Freehold Townhouse,1,0,"130,000",0,129.78
06 157905 B11,Townhouses,"4314 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2006-07-19,2006-11-24,2015-04-29,Closed,"MODEL # A2 MODEL NAME "" "" ELEVATION A
Three storey  townhouse - Block 1, Part #1, Elevation B (A2)",Vacant,Freehold Townhouse,1,0,"130,000",0,129.78
14 170789 B02,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B03,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B04,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B05,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B06,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B07,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B08,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B09,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B10,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""22-U-1"" MODEL NAME ""AVENUE""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,111
14 170789 B11,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""22-U-1"" MODEL NAME ""AVENUE""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,111
14 170789 B12,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""30-M-2"" MODEL NAME ""DUFFERIN 4""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B13,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-2"" MODEL NAME ""DUFFERIN 3""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,78
14 170789 B14,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B15,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B16,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,62
14 170789 B17,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,67
14 170789 B18,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B19,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B20,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,62
14 170789 B21,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,67
14 170789 B22,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B23,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B24,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,62
14 170789 B25,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,67
14 170789 B26,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B27,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B28,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN 2""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,62
14 170789 B29,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""30-M-1"" MODEL NAME ""DUFFERIN ""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,67
14 170789 B30,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 170789 B31,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""22-G-1"" MODEL NAME ""DUFFERIN 6""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,48
14 170789 B32,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""22-G-1"" MODEL NAME ""DUFFERIN 5""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,48
14 170789 B33,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-09-21,Closed,"MODEL # ""22-U-1"" MODEL NAME ""ANENUE""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,111
14 170789 B34,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-09,2015-05-20,2016-10-31,Closed,"MODEL # ""22-U-1"" MODEL NAME ""AVENUE""
Three storey stacked townhouse with commercial / retail unit on ground floor with one level of below grade parking.",Vacant,Stacked Townhouse,1,0,"130,000",0,111
14 171187 B03,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B08,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B11,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B16,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B19,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 4""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,86
14 171187 B21,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B22,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B23,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B24,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B26,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B27,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B28,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-M-1"" MODEL NAME ""DOWNSVIEW""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,58
14 171187 B29,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B30,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B31,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B32,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-G-1"" MODEL NAME ""YORKDALE""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,66
14 171187 B33,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-M-1"" MODEL NAME ""DOWNSVIEW""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,58
14 171187 B34,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,82
14 171187 B35,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-17,Closed,"MODEL # ""15-U-1"" MODEL NAME ""WALTON 5""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,86
14 171187 B36,Townhouses,"855 WILSON AVE   Toronto, Ontario, Canada",Toronto,Canada,2014-06-10,2015-05-19,2016-11-01,Closed,"MODEL # ""15-M-1"" MODEL NAME ""DOWNSVIEW""
Block B - Three storey stacked townhouse with one level of below grade parking",Vacant,Stacked Townhouse,1,0,"130,000",0,58
00 331773 CMB,SFD - Semi-Detached,"87 A FOCH AVE   Toronto, Ontario, Canada",Toronto,Canada,2000-08-25,2000-09-25,2014-04-02,Closed,"To construct a semi-detached two storey SFD with attached garage.
See # 330945 for plans,     HVAC &  Plumbing included.     ",,,1,0,"129,000",0,161.09
07 237975 BLD,SFD - Detached,"117 HOMESTEAD RD   Toronto, Ontario, Canada",Toronto,Canada,2007-06-29,2007-08-23,2014-08-27,Closed,New 2-storey single family Dwelling,Single Family Dwelling,Single Family Dwelling,1,0,"128,000",0,237.82
02 185146 BLD,SFD - Detached,"26 SALAMANDER ST   Toronto, Ontario, Canada",Toronto,Canada,2002-11-03,2003-04-08,2016-12-06,Closed,SINGLE FAMILY DWELLING 3684  ELEV: A  FOREST MEADOW    PHASE 3  CERT # 0125023,,,1,0,"126,973",0,149.38
13 147308 B01,SFD - Semi-Detached,"39 LOU POMANTI ST   Toronto, Ontario, Canada",Toronto,Canada,2013-04-10,2013-08-08,2015-10-15,Closed,"MODEL # ""1795"" ELEVATION ""2""
Proposal to construct a new three storey semi-detached dwelling with an attached garage.",Vacant,Sfd-Semi,1,0,"126,910",0,168.43
13 280244 B01,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-28,2017-10-16,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B02,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-28,2017-10-16,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B03,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-28,2017-10-16,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B04,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-28,2017-10-17,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B05,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-17,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B06,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-17,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280244 B07,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-30,2017-10-17,Closed,"MODEL # ""2A2""
Block 1 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280261 B04,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-24,Closed,"MODEL # ""2A2""
Block 2 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouse,1,0,"126,720",0,73.6
13 280264 B01,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B02,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B03,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B04,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B05,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B06,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
13 280264 B07,Townhouses,"1088 PROGRESS AVE   Toronto, Ontario, Canada",Toronto,Canada,2013-12-19,2015-01-29,2017-10-31,Closed,"MODEL # ""2A2""
Block 3 - Three storey stacked townhouses, 35 Units in total",Vacant,Stacked Townhouses,1,0,"126,720",0,73.6
17 187092 B19,Townhouses,"12 MARQUETTE AVE   Toronto, Ontario, Canada",Toronto,Canada,2017-06-26,,2017-10-06,Cancelled,Unit 19 - Model B1 - ALT - Suite 201,Vacant,Sfd-Stacked Townhouse,1,0,"125,709",0,96
13 147305 B01,SFD - Semi-Detached,"3 LOU POMANTI ST   Toronto, Ontario, Canada",Toronto,Canada,2013-04-10,2013-08-08,2015-03-03,Closed,"MODEL # ""1795"" ELEVATION ""1""
Proposal to construct a new three storey semi-detached dwelling with an attached garage.",Vacant,Sfd-Semi,1,0,"125,650",0,166.76
13 147308 B02,SFD - Semi-Detached,"37 LOU POMANTI ST   Toronto, Ontario, Canada",Toronto,Canada,2013-04-10,2013-08-08,2015-10-15,Closed,"MODEL # ""1795"" ELEVATION ""1""
Proposal to construct a new three storey semi-detached dwelling with an attached garage.",Vacant,Sfd-Semi,1,0,"125,650",0,166.76
06 157905 B19,Townhouses,"4314 KINGSTON RD   Toronto, Ontario, Canada",Toronto,Canada,2006-07-19,2006-11-24,2014-01-24,Closed,"MODEL # B2 MODEL NAME "" "" ELEVATION A
Three storey  townhouse - Block 1, Part #1, Elevation B (A2)",Vacant,Freehold Townhouse,1,0,"125,000",0,125.88
11 135384 BLD,SFD - Detached,"49 ANDONA CRES   Toronto, Ontario, Canada",Toronto,Canada,2011-03-01,2011-06-16,2014-05-29,Closed,"New 2 storey SFD, incl. hvac and plumbing",Vacant,Sfd,1,0,"125,000",0,186.14
